Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1532018936,2018-07-19T16:48:56Z,JAI384,"28.534241,77.12587",2150,197,103
1532019129,2018-07-19T16:52:09Z,JAI384,"28.315306,77.089828",7925,294,206
1532019141,2018-07-19T16:52:21Z,JAI384,"28.301605,77.078972",8325,295,207
1532019202,2018-07-19T16:53:22Z,JAI384,"28.242783,77.008667",10275,311,219
1532019213,2018-07-19T16:53:33Z,JAI384,"28.229874,76.996094",10700,312,222
1532019220,2018-07-19T16:53:40Z,JAI384,"28.22411,76.988686",10875,315,230
1532019317,2018-07-19T16:55:17Z,JAI384,"28.110056,76.868591",13075,369,218
1532019359,2018-07-19T16:55:59Z,JAI384,"28.058716,76.809593",14525,376,226
1532019407,2018-07-19T16:56:47Z,JAI384,"27.998199,76.741035",16025,388,224
1532019447,2018-07-19T16:57:27Z,JAI384,"27.947031,76.684891",17250,395,224
1532019471,2018-07-19T16:57:51Z,JAI384,"27.912722,76.656418",17975,396,212
1532019480,2018-07-19T16:58:00Z,JAI384,"27.898012,76.647331",18325,392,207
1532019541,2018-07-19T16:59:01Z,JAI384,"27.798761,76.593719",19850,398,205
1532019603,2018-07-19T17:00:03Z,JAI384,"27.692902,76.536575",20800,404,205
1532019666,2018-07-19T17:01:06Z,JAI384,"27.58429,76.478424",22300,415,205
1532019732,2018-07-19T17:02:12Z,JAI384,"27.467216,76.415512",23675,425,205
1532019795,2018-07-19T17:03:15Z,JAI384,"27.354189,76.3554",24900,435,205
1532019856,2018-07-19T17:04:16Z,JAI384,"27.241379,76.295021",25950,445,205
1532019923,2018-07-19T17:05:23Z,JAI384,"27.11747,76.229111",27175,449,205
1532019984,2018-07-19T17:06:24Z,JAI384,"27.003277,76.16848",28225,452,205
1532020045,2018-07-19T17:07:25Z,JAI384,"26.883041,76.104164",29050,461,205
1532020106,2018-07-19T17:08:26Z,JAI384,"26.7659,76.042542",29650,471,205
1532020167,2018-07-19T17:09:27Z,JAI384,"26.645477,75.979065",30350,477,205
1532020230,2018-07-19T17:10:30Z,JAI384,"26.517059,75.911591",31050,483,205
1532020292,2018-07-19T17:11:32Z,JAI384,"26.391083,75.845306",31975,480,205
1532020354,2018-07-19T17:12:34Z,JAI384,"26.269089,75.781204",32925,472,205
1532020387,2018-07-19T17:13:07Z,JAI384,"26.202301,75.746223",33225,474,205
1532020476,2018-07-19T17:14:36Z,JAI384,"26.025681,75.654236",34000,469,205
1532020515,2018-07-19T17:15:15Z,JAI384,"25.949936,75.614754",33975,472,205
1532020631,2018-07-19T17:17:11Z,JAI384,"25.718216,75.494484",34000,477,205
1532020690,2018-07-19T17:18:10Z,JAI384,"25.597549,75.431877",34000,479,205
1532020756,2018-07-19T17:19:16Z,JAI384,"25.469288,75.365433",34000,480,205
1532020814,2018-07-19T17:20:14Z,JAI384,"25.347198,75.307159",34000,480,201
1532020878,2018-07-19T17:21:18Z,JAI384,"25.214088,75.249611",33975,483,201
1532020938,2018-07-19T17:22:18Z,JAI384,"25.087738,75.195107",33975,486,201
1532020999,2018-07-19T17:23:19Z,JAI384,"24.960251,75.140785",34000,490,201
1532021066,2018-07-19T17:24:26Z,JAI384,"24.819279,75.080879",34000,493,201
1532021130,2018-07-19T17:25:30Z,JAI384,"24.683998,75.023148",34000,495,201
1532021192,2018-07-19T17:26:32Z,JAI384,"24.548904,74.96521",34000,490,201
1532021255,2018-07-19T17:27:35Z,JAI384,"24.414833,74.908203",34000,490,201
1532021319,2018-07-19T17:28:39Z,JAI384,"24.280157,74.851616",34000,492,201
1532021380,2018-07-19T17:29:40Z,JAI384,"24.151533,74.796944",34000,492,201
1532021441,2018-07-19T17:30:41Z,JAI384,"24.023607,74.743103",34000,492,201
1532021504,2018-07-19T17:31:44Z,JAI384,"23.888901,74.686073",34000,491,201
1532021570,2018-07-19T17:32:50Z,JAI384,"23.749136,74.627327",34000,489,201
1532021634,2018-07-19T17:33:54Z,JAI384,"23.613949,74.570793",34000,487,201
1532021697,2018-07-19T17:34:57Z,JAI384,"23.479645,74.514412",34000,486,200
1532021760,2018-07-19T17:36:00Z,JAI384,"23.346739,74.458977",34000,484,201
1532021821,2018-07-19T17:37:01Z,JAI384,"23.220612,74.406357",34000,486,201
1532021884,2018-07-19T17:38:04Z,JAI384,"23.086533,74.350822",34000,489,200
1532021945,2018-07-19T17:39:05Z,JAI384,"22.958075,74.297943",33975,490,200
1532022004,2018-07-19T17:40:04Z,JAI384,"22.830276,74.244606",34000,489,201
1532022068,2018-07-19T17:41:08Z,JAI384,"22.695053,74.188995",33975,489,200
1532022127,2018-07-19T17:42:07Z,JAI384,"22.567919,74.136711",33975,489,200
1532022192,2018-07-19T17:43:12Z,JAI384,"22.433578,74.081108",34000,490,200
1532022251,2018-07-19T17:44:11Z,JAI384,"22.304899,74.028069",34000,492,201
1532022314,2018-07-19T17:45:14Z,JAI384,"22.169292,73.972931",33975,494,200
1532022379,2018-07-19T17:46:19Z,JAI384,"22.032623,73.916962",34000,496,200
1532022440,2018-07-19T17:47:20Z,JAI384,"21.902874,73.863678",34000,497,200
1532022504,2018-07-19T17:48:24Z,JAI384,"21.766989,73.808495",33975,495,200
1532022566,2018-07-19T17:49:26Z,JAI384,"21.630404,73.752953",33975,496,200
1532022628,2018-07-19T17:50:28Z,JAI384,"21.500931,73.700531",34000,494,200
1532022689,2018-07-19T17:51:29Z,JAI384,"21.365295,73.645805",33975,494,200
1532022753,2018-07-19T17:52:33Z,JAI384,"21.233034,73.592125",33975,461,200
1532022765,2018-07-19T17:52:45Z,JAI384,"21.210983,73.583183",33975,457,200
1532022860,2018-07-19T17:54:20Z,JAI384,"21.02136,73.516663",34000,445,197
1532022891,2018-07-19T17:54:51Z,JAI384,"20.958981,73.495789",34000,444,197
1532022998,2018-07-19T17:56:38Z,JAI384,"20.750748,73.42585",32400,428,197
1532023062,2018-07-19T17:57:42Z,JAI384,"20.631998,73.386177",30675,420,197
1532023125,2018-07-19T17:58:45Z,JAI384,"20.517061,73.348022",29500,409,197
1532023190,2018-07-19T17:59:50Z,JAI384,"20.40271,73.309662",28450,402,197
1532023252,2018-07-19T18:00:52Z,JAI384,"20.291428,73.272926",27375,391,197
1532023313,2018-07-19T18:01:53Z,JAI384,"20.187656,73.23896",26125,384,196
1532023375,2018-07-19T18:02:55Z,JAI384,"20.081657,73.205696",24675,374,196
1532023397,2018-07-19T18:03:17Z,JAI384,"20.045021,73.19416",24275,372,196
1532023487,2018-07-19T18:04:47Z,JAI384,"19.968023,73.282852",23100,356,61
1532023495,2018-07-19T18:04:55Z,JAI384,"19.974634,73.292992",22975,354,52
1532023502,2018-07-19T18:05:02Z,JAI384,"19.984922,73.304375",22825,352,44
1532023508,2018-07-19T18:05:08Z,JAI384,"19.98999,73.308723",22750,352,38
1532023514,2018-07-19T18:05:14Z,JAI384,"19.999632,73.315163",22650,351,29
1532023520,2018-07-19T18:05:20Z,JAI384,"20.008804,73.319458",22550,350,27
1532023543,2018-07-19T18:05:43Z,JAI384,"20.044695,73.329597",22150,348,14
1532023554,2018-07-19T18:05:54Z,JAI384,"20.058838,73.333397",22050,348,14
1532023562,2018-07-19T18:06:02Z,JAI384,"20.071426,73.336731",21975,349,14
1532023609,2018-07-19T18:06:49Z,JAI384,"20.149672,73.343178",21150,347,338
1532023625,2018-07-19T18:07:05Z,JAI384,"20.169083,73.328896",20900,346,317
1532023631,2018-07-19T18:07:11Z,JAI384,"20.175739,73.320206",20800,345,307
1532023640,2018-07-19T18:07:20Z,JAI384,"20.182159,73.306915",20650,346,291
1532023650,2018-07-19T18:07:30Z,JAI384,"20.18573,73.291367",20500,347,278
1532023673,2018-07-19T18:07:53Z,JAI384,"20.178486,73.251343",20075,350,243
1532023680,2018-07-19T18:08:00Z,JAI384,"20.173279,73.242859",19975,350,234
1532023688,2018-07-19T18:08:08Z,JAI384,"20.163162,73.231918",19825,350,220
1532023695,2018-07-19T18:08:15Z,JAI384,"20.154978,73.225975",19725,351,211
1532023701,2018-07-19T18:08:21Z,JAI384,"20.145996,73.221519",19625,351,202
1532023707,2018-07-19T18:08:27Z,JAI384,"20.136776,73.218536",19525,351,195
1532023715,2018-07-19T18:08:35Z,JAI384,"20.122297,73.214592",19350,350,194
1532023721,2018-07-19T18:08:41Z,JAI384,"20.113312,73.212204",19250,349,194
1532023736,2018-07-19T18:08:56Z,JAI384,"20.090469,73.206223",19025,346,193
1532023874,2018-07-19T18:11:14Z,JAI384,"19.876362,73.180031",15875,320,184
1532023906,2018-07-19T18:11:46Z,JAI384,"19.829865,73.176254",15300,308,184
1532023939,2018-07-19T18:12:19Z,JAI384,"19.784271,73.172424",14700,296,184
1532023969,2018-07-19T18:12:49Z,JAI384,"19.744125,73.168945",14175,287,184
1532024003,2018-07-19T18:13:23Z,JAI384,"19.698486,73.165123",13625,274,184
1532024041,2018-07-19T18:14:01Z,JAI384,"19.653284,73.161255",13175,264,184
1532024074,2018-07-19T18:14:34Z,JAI384,"19.612244,73.157761",12975,256,184
1532024111,2018-07-19T18:15:11Z,JAI384,"19.567348,73.15406",13000,262,184
1532024146,2018-07-19T18:15:46Z,JAI384,"19.526733,73.150604",12975,261,184
1532024182,2018-07-19T18:16:22Z,JAI384,"19.481186,73.148933",12800,266,181
1532024212,2018-07-19T18:16:52Z,JAI384,"19.442825,73.148247",12500,268,180
1532024231,2018-07-19T18:17:11Z,JAI384,"19.420429,73.14872",12300,264,178
